zipcode,city,state_id,state,country
2467,Chestnut Hill,MA,Massachusetts,USA
2468,Waban,MA,Massachusetts,USA
2472,Watertown,MA,Massachusetts,USA
2474,Arlington,MA,Massachusetts,USA
2476,Arlington,MA,Massachusetts,USA
2478,Belmont,MA,Massachusetts,USA
2481,Wellesley Hills,MA,Massachusetts,USA
2482,Wellesley,MA,Massachusetts,USA
2492,Needham,MA,Massachusetts,USA
2493,Weston,MA,Massachusetts,USA
2494,Needham Heights,MA,Massachusetts,USA
2532,Buzzards Bay,MA,Massachusetts,USA
2534,Cataumet,MA,Massachusetts,USA
2535,Chilmark,MA,Massachusetts,USA
2536,East Falmouth,MA,Massachusetts,USA
2537,East Sandwich,MA,Massachusetts,USA
2538,East Wareham,MA,Massachusetts,USA
2539,Edgartown,MA,Massachusetts,USA
2540,Falmouth,MA,Massachusetts,USA
2542,Buzzards Bay,MA,Massachusetts,USA
2543,Woods Hole,MA,Massachusetts,USA
2553,Monument Beach,MA,Massachusetts,USA
2554,Nantucket,MA,Massachusetts,USA
2556,North Falmouth,MA,Massachusetts,USA
2557,Oak Bluffs,MA,Massachusetts,USA
2558,Onset,MA,Massachusetts,USA
2559,Pocasset,MA,Massachusetts,USA
2561,Sagamore,MA,Massachusetts,USA
2562,Sagamore Beach,MA,Massachusetts,USA
2563,Sandwich,MA,Massachusetts,USA
2564,Siasconset,MA,Massachusetts,USA
2568,Vineyard Haven,MA,Massachusetts,USA
2571,Wareham,MA,Massachusetts,USA
2575,West Tisbury,MA,Massachusetts,USA
2576,West Wareham,MA,Massachusetts,USA
2584,Nantucket,MA,Massachusetts,USA
2601,Hyannis,MA,Massachusetts,USA
2630,Barnstable,MA,Massachusetts,USA
2631,Brewster,MA,Massachusetts,USA
2632,Centerville,MA,Massachusetts,USA
2633,Chatham,MA,Massachusetts,USA
2635,Cotuit,MA,Massachusetts,USA
2637,Cummaquid,MA,Massachusetts,USA
2638,Dennis,MA,Massachusetts,USA
2639,Dennis Port,MA,Massachusetts,USA
2641,East Dennis,MA,Massachusetts,USA
2642,Eastham,MA,Massachusetts,USA
2643,East Orleans,MA,Massachusetts,USA
2644,Forestdale,MA,Massachusetts,USA
2645,Harwich,MA,Massachusetts,USA
2646,Harwich Port,MA,Massachusetts,USA
2647,Hyannis Port,MA,Massachusetts,USA
2648,Marstons Mills,MA,Massachusetts,USA
2649,Mashpee,MA,Massachusetts,USA
2650,North Chatham,MA,Massachusetts,USA
2651,North Eastham,MA,Massachusetts,USA
2652,North Truro,MA,Massachusetts,USA
2653,Orleans,MA,Massachusetts,USA
2655,Osterville,MA,Massachusetts,USA
2657,Provincetown,MA,Massachusetts,USA
2659,South Chatham,MA,Massachusetts,USA
2660,South Dennis,MA,Massachusetts,USA
2663,South Wellfleet,MA,Massachusetts,USA
2664,South Yarmouth,MA,Massachusetts,USA
2666,Truro,MA,Massachusetts,USA
2667,Wellfleet,MA,Massachusetts,USA
2668,West Barnstable,MA,Massachusetts,USA
2669,West Chatham,MA,Massachusetts,USA
2670,West Dennis,MA,Massachusetts,USA
2671,West Harwich,MA,Massachusetts,USA
2672,West Hyannisport,MA,Massachusetts,USA
2673,West Yarmouth,MA,Massachusetts,USA
2675,Yarmouth Port,MA,Massachusetts,USA
2702,Assonet,MA,Massachusetts,USA
2703,Attleboro,MA,Massachusetts,USA
2713,Cuttyhunk,MA,Massachusetts,USA
2715,Dighton,MA,Massachusetts,USA
2717,East Freetown,MA,Massachusetts,USA
2718,East Taunton,MA,Massachusetts,USA
2719,Fairhaven,MA,Massachusetts,USA
2720,Fall River,MA,Massachusetts,USA
2721,Fall River,MA,Massachusetts,USA
2723,Fall River,MA,Massachusetts,USA
2724,Fall River,MA,Massachusetts,USA
